15;;QUANTIDADE DE FIO NA ESPULA;COR1;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 2;REFERENCIA;;;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 3;Largura;;LARGURA;;
ATAC 3000 321 3MM;16;2;321;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC M9022 270 3MM;16;2;270;16;3;;M9022;;;;;M9022;1200;360;3MM;;0
FITA MDP 2T 758/1P GRISS 15MM;108;758/1P;;;;;;;;;758/1P;MDP;15MM;OK;OK;OK;0
ATAC M12026 004 8MM;72;4;;;;;;;;;4;M12026;8mm;OK;OK;OK;0
ATAC M12026 104 8MM;72;104;;;;;;;;;104;M12026;8mm;OK;OK;OK;0
ATAC M21020 496/1P 8MM;64;496/1;;;;;;;;;496/1;M21020;8MM;OK;OK;OK;0
ATAC M21020 084/1P 8MM;64;084/1;;;;;;;;;084/1;M21020;8MM;OK;OK;OK;0
ATAC M21020 276/1P 8MM;64;276/1;;;;;;;;;276/1;M21020;8MM;OK;OK;OK;0
ATAC M21020 290/1P 8MM ;64;290/1;;;;;;;;;290/1;M21020;8MM;OK;OK;OK;0
ATAC M10046 135 6MM ;46;135;;;;;;;;;135;M10046;6MM;OK;OK;OK;0
ATAC M10046 292 6MM;46;292;;;;;;;;;292;M10046;6MM;OK;OK;OK;0
FITA M32107 292 15MM;100;292;;;;;;;;;292;M32107;15MM;OK;OK;OK;0
FITA M32139 100/291 15MM;44;100;36;291;;;;;;;100/291;M32139;15MM;OK;OK;OK;0
ATAC M10030 180/533 6MM;16;2;317;16;3;;;;;;180/533;M10030;6MM;OK;OK;OK;0
ATAC M10030 975/189 6MM;16;2;317;16;3;;;;;;975/189;M10030;6MM;OK;OK;OK;0
ATAC M10046 247 6MM;46;247;;;;;;;;;247;M10046;6MM;OK;OK;OK;0
FITA M32107 975 15MM;100;975;;;;;;;;;975;M32107;15MM;OK;OK;OK;0
ELAST CANELADO 018/102/299 REFLEXX 10MM;16 , 16 , 18;018 . 102 . 299;;;;;;;;;018/102/299;CANELADO;10MM;OK;OK;OK;0
ELAST CANELADO 102/068/084 REFLEXX 10MM;16 , 16 , 18;102/1, 068/1, 084/1;;;;;;;;;102/068/084;CANELADO;10MM;OK;OK;OK;0
ELAST CANELADO 018/102/100 REFLEXX 10MM;16 , 16 , 18;018 . 102 . 100;;;;;;;;;018/102/100;CANELADO;10MM;OK;OK;OK;0
ELAST CANELADO 113/102/049 REFLEXX 10MM;16 , 16 , 18;113 . 102 . 049;;;;;;;;;113/102/049;CANELADO;10MM;OK;OK;OK;0
ELAST 16410 063 7MM;20;63;;;;;;;;;63;16410;7MM;OK;OK;OK;0
FITA 726 312 15MM;120;312;;;;;;;;;312;726;15MM;OK;OK;OK;0
ATAC M9022 104 3MM;16;2;104;16;3;;M9022;;;;;M9022;1200;360;3MM;;0
ATAC M9022 005 3MM;16;2;05;16;3;;M9022;;;;;M9022;1200;360;3MM;;0
ATAC M9022 229 3MM;16;2;229;16;3;;M9022;;;;;M9022;1200;360;3MM;;0
ATAC M9022 001 3MM;16;2;01;16;3;;M9022;;;;;M9022;1200;360;3MM;;0
ATAC M9022 052 3MM;16;2;52;16;3;;M9022;;;;;M9022;1200;360;3MM;;0
ATAC 14163 303 6MM;46;303;;;;;;;;;303;14163;6MM;OK;OK;OK;0
ELAST 16410 310 7MM;20;310;;;;;;;;;310;16410;7MM;OK;OK;OK;0
FITA 726 253 10MM;90;253;;;;;;;;;253;726;10MM;OK;OK;OK;0
ATAC M18006 243;16;3;243;16;2;243;M18006;;;;;;1000;418;CONFERIDO 17/07/2020;;0
ATAC MFP 226 15MM;120;226;;;;;;;;;226;MFP;15MM;OK;OK;OK;0
ATAC MFP 100 15MM;120;100;;;;;;;;;100;MFP;15MM;OK;OK;OK;0
ATAC MFP 102 15MM;120;102;;;;;;;;;102;MFP;15MM;OK;OK;OK;0
ATAC 3000 077 3MM;16;2;77;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 11628 059 7MM;40;59;;;;;;;;;59;11628;7MM;OK;OK;OK;0
ATAC 11628 127 7MM;40;127;;;;;;;;;127;11628;7MM;OK;OK;OK;0
ATAC 11628 024 7MM;40;24;;;;;;;;;24;11628;7MM;OK;OK;OK;0
ATAC 11628 053 7MM;40;53;;;;;;;;;53;11628;7MM;OK;OK;OK;0
ATAC M9022 253 3MM;16;2;253;16;3;;M9022;;;;;M9022;1200;360;3MM;;0
ATAC M9022 119 3MM;16;2;119;16;3;;M9022;;;;;M9022;1200;360;3MM;;0
ELAST MER 300 2MM;16;1;300;;;;MER;2MM;;;;;1200;360;;;0
ATAC MFP 303 15MM;120;303;;;;;;;;;303;MFP;15MM;OK;OK;OK;0
ATAC M12020 242 9MM;104;242;;;;;;;;;242;M12020;9MM;OK;OK;OK;0
ATAC M12020 099 9MM;104;99;;;;;;;;;99;M12020;9MM;OK;OK;OK;0
ATAC M12026 758 8MM;72;758;;;;;;;;;758;M12026;8mm;OK;OK;OK;0
CORDAO 3000/6 021 4MM;;;;;;;3000/6;;;;;;800;360;;;0
CORDAO 3000/6 237/189 4MM;;;;;;;3000/6;;;;;;800;360;;;0
CORDAO 3000/6 100/137 4MM;;;;;;;3000/6;;;;;;800;360;;;0
ATAC M10046 377 6MM;46;377;;;;;;;;;377;M10046;6MM;OK;OK;OK;0
FITA M32107 338 15MM;100;338;;;;;;;;;338;M32107;15MM;OK;OK;OK;0
ATAC 3000 084 3MM;16;2;84;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 11628 134 7MM;40;134;;;;;;;;;134;11628;7MM;OK;OK;OK;0
ATAC 6ALF 954/100 6MM;1 . 52 . 3;954 . 100 . 954;;;;;;;;;954/100;6ALF;6MM;OK;OK;OK;0
ELAST CANELADO 183/1 10MM;44;183/1;;;;;;;;;183/1;CANELADO ;10MM;OK;OK;OK;0
ATAC M10046 338 6MM;46;338;;;;;;;;;338;M10046;6MM;OK;OK;OK;0
FITA M1308 165 10MM;56;165;;;;;;;;;165;M1308;10MM;360;;OK;0
FITA M1308 162 10MM;56;162;;;;;;;;;162;M1308;10MM;360;;OK;0
FITA MDP 706/1P 13MM;90;706/1P;;;;;;;;;706/1P;MDP;13MM;OK;OK;OK;0
FITA MDP 044/1P 13MM;90;044/1P;;;;;;;;;044/1P;MDP;13MM;OK;OK;OK;0
ATAC 11628 169 7MM;40;169;;;;;;;;;169;11628;7MM;OK;OK;OK;0
ATAC 3000 051 3MM;16;2;51;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC M5132 100/312 5MM;16;2;317;16;3;;;;;;100/312;M5132;5MM;OK;OK;OK;0
ATAC M5132 104/427 5MM;16;2;317;16;3;;;;;;104/427;M5132;5MM;OK;OK;OK;0
ATAC M5132 024/801 5MM;16;2;317;16;3;;;;;;024/801;M5132;5MM;OK;OK;OK;0
ELAST 16410 312 7MM;20;312;;;;;;;;;312;16410;7MM;OK;OK;OK;0
ELAST 16410 241 7MM;20;241;;;;;;;;;241;16410;7MM;OK;OK;OK;0
ELAST 16410 052 7MM;20;52;;;;;;;;;52;16410;7MM;OK;OK;OK;0
ATAC M5132 916/801 5MM;16;2;317;16;3;;;;;;916/801;M5132;5MM;OK;OK;OK;0
ATAC 6ALF 024/954 6MM;1 . 52 . 3;024 . 954 . 024;;;;;;;;;024/954;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 169/104 6MM;1 . 52 . 3;169 . 104 . 169;;;;;;;;;169/104;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 254/104 6MM;1 . 52 . 3;254 . 104 . 254;;;;;;;;;254/104;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 794/100 6MM;1 . 52 . 3;794 . 100 . 794;;;;;;;;;794/100;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 444/951 6MM;1 . 52 . 3;444 . 951 . 444;;;;;;;;;444/951;6ALF;6MM;OK;OK;OK;0
ATAC M13473 100/087 ;30;3;100;2;3;87;M13473;;;;;;800;360;;;0
ATAC M13473 100/275;30;3;100;2;3;275;M13473;;;;;;800;360;;;0
ATAC M13473 315/140;30;3;315;2;3;140;M13473;;;;;;800;360;;;0
ATAC M13473 174/334 ;30;3;174;2;3;334;M13473;;;;;;800;360;;;0
ATAC M13473 102/058;30;3;102;2;3;58;M13473;;;;;;800;360;;;0
FITA MFP 939 10MM;90;939;;;;;;;;;939;MFP;10MM;OK;OK;OK;0
FITA MFP 315 10MM;90;315;;;;;;;;;315;MFP;10MM;OK;OK;OK;0
FITA MFP 278 10MM;90;278;;;;;;;;;278;MFP;10MM;OK;OK;OK;0
FITA MFP 334 10MM;90;334;;;;;;;;;334;MFP;10MM;OK;OK;OK;0
ATAC M10109 MESCLA CINZA/PRETO 6MM;46;MESCLA CINZA/PRETO;;;;;;;;;MESCLA CINZA/PRETO;M10109;6MM;OK;OK;OK;0
ATAC M13143 100/315;16;2;317;16;3;315;M13143;;;;;;1200;360;;;0
ATAC M10030 164/278 6MM;16;2;317;16;3;;;;;;164/278;M10030;6MM;OK;OK;OK;0
ATAC M10030 194/100 6MM;16;2;317;16;3;;;;;;194/100;M10030;6MM;OK;OK;OK;0
ATAC M10030 278/220 6MM;16;2;317;16;3;;;;;;278/220;M10030;6MM;OK;OK;OK;0
ATAC M10030 209/101 6MM;16;2;317;16;3;;;;;;209/101;M10030;6MM;OK;OK;OK;0
ATAC M10046 492 6MM;46;492;;;;;;;;;492;M10046;6MM;OK;OK;OK;0
ATAC 3000 045 3MM;16;2;45;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 3000 140 3MM;16;2;140;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 3000 182 3MM;16;2;182;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC M12020 004 9MM;104;4;;;;;;;;;4;M12020;9MM;OK;OK;OK;0
ATAC M12026 567 8MM;72;567;;;;;;;;;567;M12026;8mm;OK;OK;OK;0
ATAC 11628 117 7MM;40;117;;;;;;;;;117;11628;7MM;OK;OK;OK;0
ELAST 16410 096 7MM;20;96;;;;;;;;;96;16410;7MM;OK;OK;OK;0
ATAC 11628 146 7MM;40;146;;;;;;;;;146;11628;7MM;OK;OK;OK;0
ATAC M22019 573 8MM;16;2;317;16;3;;;;;;2;M22019;8MM;OK;OK;OK;0
ATAC M22019 145 8MM;16;2;317;16;3;;;;;;2;M22019;8MM;OK;OK;OK;0
ATAC M22019 830 8MM;16;2;317;16;3;;;;;;2;M22019;8MM;OK;OK;OK;0
ATAC M10109 MESCLA PETROLEOII/PRETO 6MM;46;MESCLA PETROLEOII/PRETO;;;;;;;;;MESCLA PETROLEOII/PRETO;M10109;6MM;OK;OK;OK;0
ATAC M12125 100/1P 6MM;56;100/1;;;;;;;;;100/1;M12125;6MM;OK;OK;OK;0
ATAC M12125 995/1P SOLAR GREEN 6MM;56;995/1;;;;;;;;;995/1;M12125;6MM;OK;OK;OK;0
ATAC M9022 158 3MM;16;2;158;16;3;;M9022;;;;;M9022;1200;360;3MM;;0
FITA MDP 251/1P 13MM;90;251/1P;;;;;;;;;251/1P;MDP;13MM;OK;OK;OK;0
ELAST CANELADO 018/1 10MM;44;018/1;;;;;;;;;018/1;CANELADO ;10MM;OK;OK;OK;0
ELAST CANELADO 225/1 10MM;44;225/1;;;;;;;;;225/1;CANELADO ;10MM;OK;OK;OK;0
ATAC M10109 MESCLA 983/PRETO 6MM;46;MESCLA 983/PRETO;;;;;;;;;MESCLA 983/PRETO;M10109;6MM;OK;OK;OK;0
ATAC M13054 036 ;32;2;36;;;;M13054;;;;;;1200;350;Sim;;0
ATAC 6AL 416 6MM;46;416;;;;;;;;;416;6AL;6MM;OK;OK;OK;0
AT 11628 FIBRA 045 120CM 18MM xs043...........;16;2;;;;;;;;;2;11628;7MM;OK;OK;ERRADO;0
AT 11628 FIBRA 045 130CM 18MM xs043...........;16;2;;;;;;;;;2;11628;7MM;OK;OK;ERRADO;0
ATAC 6AL 135 6MM;46;135;;;;;;;;;135;6AL;6MM;OK;OK;OK;0
ATAC M21020 ACQUA/1P 8MM;64;ACQUA/1P;;;;;;;;;ACQUA/1P;M21020;8MM;OK;OK;OK;0
ELAST 16410 134 7MM;20;134;;;;;;;;;134;16410;7MM;OK;OK;OK;0
ATAC 6AL 100 6MM OVAL BCO ;46;100;;;;;;;;;100;6AL;6MM;OK;OK;OK;0
ATAC 6AL 145 6MM OVAL BCO;46;145;;;;;;;;;145;6AL;6MM;OK;OK;OK;0
ATAC 6AL 494 6MM OVAL BCO;46;494;;;;;;;;;494;6AL;6MM;OK;OK;OK;0
ATAC M21020 021/1P 8MM;64;021/1;;;;;;;;;021/1;M21020;8MM;OK;OK;OK;0
ATAC M10109 MESCLA 984/PRETO 6MM;46;MESCLA 984/PRETO;;;;;;;;;MESCLA 984/PRETO;M10109;6MM;OK;OK;OK;0
ATAC M13054 176;32;2;176;;;;M13054;;;;;;1200;350;Sim;;0
ATAC M13054 219;32;2;219;;;;M13054;;;;;;1200;350;Sim;;0
ATAC M13054 102;32;2;102;;;;M13054;;;;;;1200;350;Sim;;0
ATAC M4000/4 100 C/ ENCHIMENTO;32;3;100;;;;4000/4;;;;;;1000;534;SIM;;0
ATAC M12119 100/1 8MM;88;100/1;;;;;;;;;100/1;M12119;8MM;OK;OK;OK;0
ATAC M12119 4006/1 GREY FOUR 8MM;88;4006/1;;;;;;;;;4006/1;M12119;8MM;OK;OK;OK;0
ATAC M10046 4006 GREY FOUR 6MM;46;GREY FOUR;;;;;;;;;GREY FOUR;M10046;6MM;OK;OK;OK;0
ATAC M10046 852 6MM;46;852;;;;;;;;;852;M10046;6MM;OK;OK;OK;0
ATAC M10046 4028 CHALK CORAL 6MM;46;CHALK CORAL;;;;;;;;;CHALK CORAL;M10046;6MM;OK;OK;OK;0
ATAC M13476 4005 ZEST 5MM;32;2;4005;;;;M13476;;;;;;1200;442;CONFERIDO 15/07;;0
ATAC M13476 100 5MM;32;3;100;;;;M13476;;;;;;1200;442;CONFERIDO 15/07;;0
ATAC M12125 101/1P 6MM;56;101/1;;;;;;;;;101/1;M12125;6MM;OK;OK;OK;0
ATAC 3000/2-32 100;16;2;100;;;;3000/2-32;;;;;;1300;450;SIM;;0
ATAC 3000/2-32 101 CLOUD WHITE;16;2;101;;;;3000/2-32;;;;;;1300;450;SIM;;0
ATAC 3000/2-32 102 ;16;2;102;;;;3000/2-32;;;;;;1300;450;SIM;;0
ATAC M13476 4037 MET.SILVER 5MM;32;2;4037;;;;M13476;;;;;;1200;442;CONFERIDO 15/07;;0
ATAC M13476 996 SOLAR RED 5MM;32;2;996;;;;M13476;;;;;;1200;442;CONFERIDO 15/07;;0
ATAC M10046 942 6MM;46;942;;;;;;;;;942;M10046;6MM;OK;OK;OK;0
ATAC M13476 4029 RED 6MM;32;2;4029;;;;M13476;6MM;;;;;1200;442;CONFERIDO 15/07;;0
FITA M32144 059/102/084 35MM;56 , 56 , 56 ,56;059 , 102 , 084 , 059;;;;;;;;;059/102/084;M32144;35MM;OK;OK;OK;0
ATAC 14163 170/290 6MM;1 . 52 . 3;170 , 290 , 170;;;;;;;;;170/290;14163;6MM;OK;OK;OK;0
ATAC 14163 226/030 6MM;1 . 52 . 3;226 , 030 , 226;;;;;;;;;226/030;14163;6MM;OK;OK;OK;0
ATAC M10109 MESCLA PETALA/PRETO 6MM;46;MESCLA PETALA/PRETO;;;;;;;;;MESCLA PETALA/PRETO;M10109;6MM;OK;OK;OK;0
ATAC M10109 MESCLA 149/100 6MM;46;149/100;;;;;;;;;149/100;M10109;6MM;OK;OK;OK;0
ATAC M4000/4 724 ;32;3;724;;;;4000/4;;;;;;1000;534;SIM;;0
FITA 726 048 15MM;120;48;;;;;;;;;48;726;15MM;OK;OK;OK;0
FITA KK 100 10MM;80;100;;;;;;;;;100;KK;10MM;OK;OK;OK;0
ATAC M15081 310/102 7MM;16;2;317;16;3;102;M15081;;;;;;1200;360;;;0
ATAC M9022 007 3MM;16;2;07;16;3;;M9022;;;;;M9022;1200;360;3MM;;0
ATAC M12128 100 8MM;36;100;;;;;;;;;100;M12128;8MM;OK;OK;OK;0
ATAC M12128 020 8MM;36;20;;;;;;;;;20;M12128;8MM;OK;OK;OK;0
ATAC M12128 102 8MM;36;102;;;;;;;;;102;M12128;8MM;OK;OK;OK;0
FITA MFGEL 100/1P 12MM;88;100/1P;;; ;;;;;;100/1P;MFGEL;12MM;OK;OK;OK;0
ATAC M13476 906 6MM;32;2;906;;;;M13476;6MM;;;;;1200;442;CONFERIDO 15/07;;0
ATAC M13476 065 6MM;32;2;65;;;;M13476;;;;;;1200;442;CONFERIDO 15/07;;0
ATAC M12125 4041/1P OFF WHITE 6MM;56;4041/1;;;;;;;;;4041/1;M12125;6MM;OK;OK;OK;0
ATAC M10046 DARK BLUE 6MM;46;DARK BLUE;;;;;;;;;DARK BLUE;M10046;6MM;OK;OK;OK;0
ATAC M10046 GREY FOUR 6MM;46;GREY FOUR;;;;;;;;;GREY FOUR;M10046;6MM;OK;OK;OK;0
ATAC M13476 4030 ASH SILVER 6MM;32;2;4030;;;;M13476;6MM;;;;;1200;442;CONFERIDO 15/07;;0
ATAC M13054 066 ;32;2;66;;;;M13054;;;;;;1200;350;Sim;;0
ATAC M13054 183 ;32;2;183;;;;M13054;;;;;;1200;350;Sim;;0
FITA MFGP 226 10MM;58;226;;;;;;;;;226;MFGP;10mm;OK;OK;OK;0
FITA MFGP 100 10MM;58;100;;;;;;;;;100;MFGP;10mm;OK;OK;OK;0
FITA MFGP 140 10MM;58;140;;;;;;;;;140;MFGP;10mm;OK;OK;OK;0
ATAC M15081 321/102 7MM;16;2;317;16;3;102;M15081;;;;;;1200;360;;;0
ELAST TR-286 226 2.5MM;16;1;226;;;;TR -268;;;;;;1200;250;;;0
ELAST TR-286 140 2.5MM;16;1;140;;;;TR -268;;;;;;1200;250;;;0
ATAC M16100 501 OVAL BCO;16;3;501;;;;M16100;;;;;;800;360;;;0
ATAC M16100 274 OVAL PTO;16;3;274;;;;M16100;;;;;;800;360;;;0
ATAC M16100 494 OVAL BCO;16;3;494;;;;M16100;;;;;;800;360;;;0
ELAST MTM 501 50MM;148;501;;;;;;;;;501;MTM;50MM;OK;OK;OK;0
ELAST MTM 274 50MM;148;274;;;;;;;;;274;MTM;50MM;OK;OK;OK;0
ELAST MTM 494 50MM;148;494;;;;;;;;;494;MTM;50MM;OK;OK;OK;0
ATAC M12020 102 10MM;104;102;;;;;;;;;102;M12020;10MM;OK;OK;OK;0
ATAC M12020 066 10MM;104;66;;;;;;;;;66;M12020;10MM;OK;OK;OK;0
ATAC M12020 100 10MM;104;100;;;;;;;;;100;M12020;10MM;OK;OK;OK;0
ATAC M12020 303 10MM;104;303;;;;;;;;;303;M12020;10MM;OK;OK;OK;0
ATAC M15081 063/100 7MM;16;2;317;16;3;100;M15081;;;;;;1200;360;;;0
CORDAO M9030 175 1,5MM;16;1;175;;;175;M9030;1,5MM;1x1;;;;2600;360;;;0
FITA MFGP 296 15MM;96;296;;;;;;;;;296;MFGP;15MM;OK;OK;OK;0
ATAC M13054 296 ;32;2;296;;;;M13054;;;;;;1200;350;Sim;;0
ELAST 16410 334/LUREX PRATA 7MM;16;334;8;LUREX PRATA;;;;;;;334/LUREX PRATA;16410;7MM;OK;OK;OK;0
ATAC 6ALF 922/954 6MM;1 . 52 . 3;922 . 954 . 922;;;;;;;;;922/954;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 446/104 6MM;1 . 52 . 3;446 . 104 . 446;;;;;;;;;446/104;6ALF;6MM;OK;OK;OK;0
FITA M32144 100/102/035 35MM;56 , 56 , 56 , 56;100 , 102 , 035 , 100;;;;;;;;;100/102/035;M32144;35MM;OK;OK;OK;0
FITA M32144 119/186/102 35MM;56 , 56 , 56 , 56;119 , 186 , 102 , 119;;;;;;;;;119/186/102;M32144;35MM;OK;OK;OK;0
ATAC 6ALF 416/312 6MM;1 . 52 . 3;416 . 312 . 416;;;;;;;;;416/312;6ALF;6MM;OK;OK;OK;0
ATAC 14163 122/200 6MM;1 . 52 . 3;122 , 200 , 122;;;;;;;;;122/200;14163;6MM;OK;OK;OK;0
ATAC 14163 048/334 6MM;1 . 52 . 3;048 , 334 , 048;;;;;;;;;048/334;14163;6MM;OK;OK;OK;0
ATAC 14163 253/321 6MM;1 . 52 . 3;253 , 321 , 253;;;;;;;;;253/321;14163;6MM;OK;OK;OK;0
ATAC 14163 312/100 6MM;1 . 52 . 3;312 , 100 , 312;;;;;;;;;312/100;14163;6MM;OK;OK;OK;0
ATAC 14163 290/333 6MM;1 . 52 . 3;290 , 333 , 290;;;;;;;;;290/333;14163;6MM;OK;OK;OK;0
ATAC 14163 100/248 6MM;1 . 52 . 3;100 , 248 , 100;;;;;;;;;100/248;14163;6MM;OK;OK;OK;0
ATAC M16100 535 OVAL BCO;16;3;535;;;;M16100;;;;;;800;360;;;0
ELAST MTM 535 50MM;148;535;;;;;;;;;535;MTM;50MM;OK;OK;OK;0
ELAST CANELADO 148/1 10MM ;44;148/1;;;;;;;;;148/1;CANELADO ;10MM;OK;OK;OK;0
ATAC 6ALF 100/191 6MM;1 . 52 . 3;100 . 191 . 100;;;;;;;;;100/191;6ALF;6MM;OK;OK;OK;0
ATAC M12015 301 8MM;72;301;;;;;;;;;301;M12015;8MM;OK;OK;OK;0
ATAC M10046 906 6MM;46;906;;;;;;;;;906;M10046;6MM;OK;OK;OK;0
ELAST 16410 142 7MM;20;142;;;;;;;;;142;16410;7MM;OK;OK;OK;0
ELAST CANELADO 329/1 10MM;44;329/1;;;;;;;;;329/1;CANELADO ;10MM;OK;OK;OK;0
ATAC 11628 240 7MM;40;240;;;;;;;;;240;11628;7MM;OK;OK;OK;0
ATAC 11628 025 7MM;40;25;;;;;;;;;25;11628;7MM;OK;OK;OK;0
ATAC M18006 180;16;3;180;16;2;180;M18006;;;;;;1000;418;CONFERIDO 17/07/2020;;0
ATAC M18006 242;16;3;242;16;2;242;M18006;;;;;;1000;418;CONFERIDO 17/07/2020;;0
ATAC M13475 573;32;2;573;;;;M13475;;2x2;;;;1200;360;;;0
FITA MFGEL 494/1P 15MM;108;494/1P;;;;;;;;;494/1P;MDP;15MM;OK;ERRADO;OK;0
FITA MFGEL 059/1P 15MM;108;059/1P;;;;;;;;;059/1P;MDP;15MM;OK;ERRADO;OK;0
ATAC M8081 2170 7MM;40;2170;;;;;;;;;2170;M8081;7MM;OK;OK;OK;0
ATAC M13054 057;32;2;57;;;;M13054;;;;;;1200;350;Sim;;0
FITA MFGP 305 15MM;96;305;;;;;;;;;305;MFGP;15MM;OK;OK;OK;0
ATAC M12015 4068 RATO FOSCO 8MM;72;4068;;;;;;;;;4068;M12015;8MM;OK;OK;OK;0
ATAC M12015 4078 8MM;72;4078;;;;;;;;;4078;M12015;8MM;OK;OK;OK;0
ELAST MTM 122 10MM;28;122;;;;;;;;;122;MTM;10MM;OK;OK;OK;0
ELAST MTM 253 10MM;28;253;;;;;;;;;253;MTM;10MM;OK;OK;OK;0
ELAST MTM 100 10MM;28;100;;;;;;;;;100;MTM;10MM;OK;OK;OK;0
ATAC M22026 048/175 7MM;10 , 2 , 12 , 2 , 12 , 2 , 12;048. 175. 048. 175. 048. 175. 048;;;;;;;;;048/175;M22026;7MM;OK;OK;OK;0
ATAC M22026 048/310 7MM;10 , 2 , 12 , 2 , 12 , 2 , 12;048. 310. 048. 310. 048. 310. 048;;;;;;;;;048/310;M22026;7MM;OK;OK;OK;0
ATAC M22026 102/310 7MM;10 , 2 , 12 , 2 , 12 , 2 , 12;102. 310. 102. 310. 102. 310. 102;;;;;;;;;102/310;M22026;7MM;OK;OK;OK;0
ATAC M22026 025/102 7MM;10 , 2 , 12 , 2 , 12 , 2 , 12;025. 102. 025. 102. 025. 102. 025;;;;;;;;;025/102;M22026;7MM;OK;OK;OK;0
ATAC M22026 248/310 7MM;10 , 2 , 12 , 2 , 12 , 2 , 12;248. 310. 248. 310. 248. 310. 248;;;;;;;;;248/310;M22026;7MM;OK;OK;OK;0
ATAC M22026 334/226 7MM;10 , 2 , 12 , 2 , 12 , 2 , 12;334. 226. 334. 226. 334. 226. 334;;;;;;;;;334/226;M22026;7MM;OK;OK;OK;0
ATAC M22026 045/011 7MM;10 , 2 , 12 , 2 , 12 , 2 , 12;045. 011. 045. 011. 045. 011. 045;;;;;;;;;045/011;M22026;7MM;OK;OK;OK;0
ATAC M22026 290/122 7MM;10 , 2 , 12 , 2 , 12 , 2 , 12;290. 122. 290. 122. 290. 122. 290;;;;;;;;;290/122;M22026;7MM;OK;OK;OK;0
ATAC M22026 100/248 7MM;10 , 2 , 12 , 2 , 12 , 2 , 12;100. 248. 100. 248. 100. 248. 100;;;;;;;;;100/248;M22026;7MM;OK;OK;OK;0
ATAC M22026 100/310 7MM;10 , 2 , 12 , 2 , 12 , 2 , 12;100. 310. 100. 310. 100. 310. 100;;;;;;;;;100/310;M22026;7MM;OK;OK;OK;0
ELAST M2005 100 6MM;24;100;;;;;;;;;100;M2005;6MM;OK;OK;OK;0
ELAST M2005 225 6MM;24;225;;;;;;;;;225;M2005;6MM;OK;OK;OK;0
ELAST M2005 186 6MM;24;186;;;;;;;;;186;M2005;6MM;OK;OK;OK;0
FITA M32107 225 10MM;68;225;;;;;;;;;225;M32107;10MM;OK;OK;OK;0
FITA M32107 225 12MM;80;225;;;;;;;;;225;M32107;12MM;OK;OK;OK;0
ELAST M2005 135 6MM;24;135;;;;;;;;;135;M2005;6MM;OK;OK;OK;0
ATAC M15055 100 8MM;48;2;100;;;100;M15055;8mm;1x1;;;;1200;385;CONFERIDO 17/07/2020;;0
ATAC M15055 370 8MM;48;2;370;;;370;M15055;8mm;1x1;;;;1200;385;CONFERIDO 17/07/2020;;0
FITA MDP 2T 370/1P 15MM;108;370/1P;;;;;;;;;370/1P;MDP;15MM;OK;OK;OK;0
ATAC M9022 303 3MM;16;2;303;;;;M9022;;;;;M9022;1200;360;3MM;;0
FITA MFGP 262 C/GOMA 20MM;112;262;;;;;;;;;262;MFGP;20MM;OK;OK;OK;0
