15;;QUANTIDADE DE FIO NA ESPULA;COR1;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 2;REFERENCIA;;;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 3;Largura;;LARGURA;;
FITA 726 058 10MM;90;58;;;;;;;;;58;726;10MM;OK;OK;OK;0
FITA M32107 278 10MM;68;278;;;;;;;;;278;M32107;10MM;OK;OK;OK;0
ATAC 6AL 175 6MM;46;175;;;;;;;;;175;6AL;6MM;OK;OK;OK;0
ELASTICO 16410 100 7MM;20;100;;;;;;;;;100;16410;7MM;OK;OK;OK;0
ATAC 6ALF 310/082 6MM;1 - 52 - 3;310 , 082 , 310;;;;;;;;;310/082;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 739/104 6MM;1 . 52 . 3;739 . 104 . 739;;;;;;;;;739/104;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 212/310 6MM;1 . 52 . 3;212 . 310 . 212;;;;;;;;;212/310;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 740/104 6MM;1 . 52 . 3;740 . 104 . 740;;;;;;;;;740/104;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 310/312 6MM;1 . 52 . 3;310 . 312 . 310;;;;;;;;;310/312;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 365/104 6MM;1 . 52 . 3;365 , 104 , 365;;;;;;;;;365/104;6ALF;6MM;OK;OK;OK;0
ATAC M10107 1183/1P 5MM;108;1183/1;30;1183/1;;;;;;;1183/1;M10107;5MM;OK;OK;OK;0
ATAC 6ALF 218/100 6MM;1 . 52 . 3;218 , 100 , 218;;;;;;;;;218/100;6ALF;6MM;OK;OK;OK;0
ATAC M10107 1009/1P 5MM;108;1009/1;30;1009/1;;;;;;;1009/1;M10107;5MM;OK;OK;OK;0
ATAC M10107 418/1P 5MM;108;418/1;30;418/1;;;;;;;418/1;M10107;5MM;OK;OK;OK;0
ATAC 6ALF 399/542 6MM;1 . 52 . 3;399 , 542 , 399;;;;;;;;;399/542;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 100/098 6MM;1 . 52 . 3;100 , 098 , 100;;;;;;;;;100/098;6ALF;6MM;OK;OK;OK;0
ELASTICO 16410 169 7MM;20;169;;;;;;;;;169;16410;7MM;OK;OK;OK;0
ELASTICO 16410 214 7MM;20;214;;;;;;;;;214;16410;7MM;OK;OK;OK;0
ATAC M1308 115 9MM;56;115;;;;;;;;;115;M1308;9MM;OK;OK;OK;0
FITA MDP 303/1P 13MM;90;303/1P;;;;;;;;;303/1P;MDP;13MM;OK;OK;OK;0
ATAC M1308 187 9MM;56;187;;;;;;;;;187;M1308;9MM;OK;OK;OK;0
ATAC M9022 056 3MM;16;2;56;;;;M9022;;;;56;M9022;1200;480;3MM;;0
ATAC 11628 189 7MM;40;189;;;;;;;;;189;11628;7MM;OK;OK;OK;0
ATAC M6034 2000 6MM;24;2;2000;;;;M6034;6MM;1x1;;;;1200;326;CONFERIDO 17/07/2020;;0
ATAC M8081 2139 FHATOM 7MM;40;2139;;;;;;;;;2139;M8081;7MM;OK;OK;OK;0
ATAC M8081 LIGHT GRAY 7MM;40;LIGHT GRAY;;;;;;;;;LIGHT GRAY;M8081;7MM;OK;OK;OK;0
ATAC M8081 2000 7MM;40;2000;;;;;;;;;2000;M8081;7MM;OK;OK;OK;0
ATAC M12115 100 8MM;72;100;;;;;;;;;100;M12115;8MM;OK;OK;OK;0
ATAC M12115 NAVY 8MM;72;NAVY;;;;;;;;;NAVY;M12115;8MM;OK;OK;OK;0
ATAC M8081 2156 RHONE 7MM;40;2156;;;;;;;;;2156;M8081;7MM;OK;OK;OK;0
ATAC 14163 183 6MM;46;183;;;;;;;;;183;14163;6MM;OK;OK;OK;0
FITA MDP 009/1P 13MM;90;009/1P;;;;;;;;;009/1P;MDP;13MM;OK;OK;OK;0
ELAST CANELADO ZW 107/1 10MM;44;107/1;;;;;;;;;107/1;CANELADO ZW;10MM;OK;OK;OK;0
ELASTICO 16410 290/LUREX PRATA 7MM;16;290;8;LUREX PRATA;;;;;;;290/LUREX PRATA;16410;7MM;OK;OK;OK;0
ELASTICO 16410 253 7MM;20;253;;;;;;;;;253;16410;7MM;OK;OK;OK;0
ELAST M2159 100/030 7MM;2 . 1 . 2 . 1 . 2 . 1 . 2 . 1 . 2 . 1;100 . 030 . 100 . 030 . 100 . 030 . 100 . 030 . 100 . 030;;;;;;;;;100/030;M2159;7MM;OK;OK;OK;0
CORDAO M9030 102/100 1,5MM;13;1;102;3;1;100;M9030;1,5MM;1x1;;;;2600;1200;;;0
ATAC 14163 028 6MM;46;28;;;;;;;;;28;14163;6MM;OK;OK;OK;0
FITA M32107 048 10MM;68;48;;;;;;;;;48;M32107;10MM;OK;OK;OK;0
ATAC 6AL 100 6MM;46;100;;;;;;;;;100;6AL;6MM;OK;OK;OK;0
ATAC 6ALF 028/104 6MM;1 . 52 . 3;028 , 104 , 028;;;;;;;;;028/104;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 102/312 6MM;1 . 52 . 3;102 . 312 . 102;;;;;;;;;102/312;6ALF;6MM;OK;OK;OK;0
FITA MDP 100/1P 13MM;90;100/1P;;;;;;;;;100/1P;MDP;13MM;OK;OK;OK;0
ELAST CANELADO ZW 075/1 10MM;44;075/1;;;;;;;;;075/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST CANELADO ZW 197/1 10MM;44;197/1;;;;;;;;;197/1;CANELADO ZW;10MM;OK;OK;OK;0
FITA MDP 024/1P 13MM;90;024/1P;;;;;;;;;024/1P;MDP;13MM;OK;OK;OK;0
FITA MDP 003/1P 13MM;90;003/1P;;;;;;;;;003/1P;MDP;13MM;OK;OK;OK;0
ELAST CANELADO ZW 170/1 10MM;44;170/1;;;;;;;;;170/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST CANELADO ZW 285/1 10MM;44;285/1;;;;;;;;;285/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST CANELADO ZW 305/1 10MM;44;305/1;;;;;;;;;305/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST CANELADO ZW 049/1 10MM;44;049/1;;;;;;;;;049/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST CANELADO ZW 484/1 10MM;44;484/1;;;;;;;;;484/1;CANELADO ZW;10MM;OK;OK;OK;0
