aba;aplica_a;tipo;formula1;formula2;cor_fundo
DADOS DOS PRODUTOS;O530;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O941:P941;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O941;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O967:P967;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O967;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O624;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O819;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O819:P819;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O665:Q665;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O665;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O835:Q835;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O259;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O968:Q968;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O968:P968;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;N1147;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O822:Q822,Q821,P823:Q823;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O823,O825;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1070;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1074:Q1077,Q1072:Q1073;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P897;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1134;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1064;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1170;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O2937:P2937;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P2131:P2133,P2937:P2941,P3210:P3212;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O897;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O906;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O927;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O932;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1013;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1015;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1803;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1803:Q1803;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1803:Q1803;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O799:P799;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O799:Q802;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O977:P977;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O61:Q61,O58:Q59,O55:Q55,O53:Q53,O42:Q42,O37:Q37;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1006;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1006:Q1006;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;B2554:B2557;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;N1148;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;N1442;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;N1457;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;N1478;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P661;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O662;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O2148:O2152;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1016:Q1016;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1016;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O765;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O659:O661;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O2275:Q2275;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O2275:O2279;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O981:Q981;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P532:P534,P472:P481;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1626:Q1626;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1626,Q1626;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q1626;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1626:Q1626;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1624:Q1624,O1626,Q1626;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1624,Q1624,Q1626,O1626;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q1624,Q1626;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1624:Q1624,Q1626;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1626:Q1626,O1628,Q1628;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1626,Q1626,Q1628,O1628;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q1626,Q1628;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1626:Q1626,Q1628;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q1654;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1654:Q1654;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1656:Q1656,O1654:Q1654;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1656:Q1656,P1654:Q1654;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q1656,Q1654;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1654:Q1654;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1657:Q1657,O1655:Q1655;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1657:P1657,O1655:P1655;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1657,O1655;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1657;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1657:P1657;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1657:Q1657;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1657:Q1657,Q1655;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1523;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1523:O1526;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1830;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1830:P1830;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P2220:Q2220;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P2220;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P3583;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P3614;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1629;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1641:O1644,O1629:O1634;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1641:Q1644,O1629:Q1634;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1641:P1644,O1629:P1634;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1626:O1630;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1641:P1641;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1641:Q1641;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1641:Q1644,P1629:Q1634;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1638:Q1642;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1875:Q1875;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q1875;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1875,Q1875;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1875:Q1875;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q1894;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1894:Q1894;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1915;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1915:Q1915;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1915:Q1915;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O2211;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;N2178;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;N2188;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;N2197;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O2155;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P3541:Q3541;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P3553;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P3617:Q3617;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1198:Q1198;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1198:P1198;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1662;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1662:P1662;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1661:O1667;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1521;valor da celula;"=""ERRADO""";;RGB 255
